GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
debian/infrastructure,org.corfudb.infrastructure.orchestrator.actions,RestoreRedundancyMergeSegments,0,73,0,4,0,18,0,6,0,4
debian/infrastructure,org.corfudb.infrastructure.orchestrator.actions,StateTransfer,40,360,4,16,9,79,5,13,1,7
debian/infrastructure,org.corfudb.infrastructure.datastore,DataStore,18,211,1,19,5,47,5,20,4,11
debian/infrastructure,org.corfudb.infrastructure.datastore,DataStore.new CacheWriter() {...},29,115,1,1,9,16,2,2,1,2
debian/infrastructure,org.corfudb.infrastructure.datastore,DataStore.NullValue,9,19,0,0,0,2,2,2,2,2
debian/infrastructure,org.corfudb.infrastructure.datastore,KvDataStore.KvRecord,6,40,0,0,2,5,2,5,2,5
debian/infrastructure,org.corfudb.infrastructure.management.failuredetector,ClusterGraph.new Object() {...},3,23,0,0,0,1,0,1,0,1
debian/infrastructure,org.corfudb.infrastructure.management.failuredetector,ClusterGraph,75,396,9,32,10,102,10,31,1,19
debian/infrastructure,org.corfudb.infrastructure.management.failuredetector,ClusterGraph.ClusterGraphBuilder,22,28,0,0,0,1,1,5,1,5
debian/infrastructure,org.corfudb.infrastructure.management.failuredetector,ClusterGraph.ClusterGraphHelper,3,18,0,0,2,7,1,1,1,1
debian/infrastructure,org.corfudb.infrastructure.orchestrator.workflows,RemoveNodeWorkflow,29,0,0,0,9,0,5,0,5,0
debian/infrastructure,org.corfudb.infrastructure.orchestrator.workflows,ForceRemoveWorkflow.ForceRemoveNode,111,0,4,0,17,0,5,0,3,0
debian/infrastructure,org.corfudb.infrastructure.orchestrator.workflows,RemoveNodeWorkflow.RemoveNode,25,0,0,0,6,0,3,0,3,0
debian/infrastructure,org.corfudb.infrastructure.orchestrator.workflows,AddNodeWorkflow.AddNodeToLayout,0,41,0,0,0,7,0,3,0,3
debian/infrastructure,org.corfudb.infrastructure.orchestrator.workflows,AddNodeWorkflow,0,38,0,0,0,9,0,5,0,5
debian/infrastructure,org.corfudb.infrastructure.orchestrator.workflows,AddNodeWorkflow.BootstrapNode,0,18,0,0,0,4,0,3,0,3
debian/infrastructure,org.corfudb.infrastructure.orchestrator.workflows,AddNodeWorkflow.RestoreRedundancy,5,83,1,3,1,17,1,4,0,3
debian/infrastructure,org.corfudb.infrastructure.orchestrator.workflows,RestoreRedundancyMergeSegmentsWorkflow,0,28,0,0,0,9,0,5,0,5
debian/infrastructure,org.corfudb.infrastructure.orchestrator.workflows,HealNodeWorkflow,0,28,0,0,0,6,0,3,0,3
debian/infrastructure,org.corfudb.infrastructure.orchestrator.workflows,ForceRemoveWorkflow,29,0,0,0,9,0,5,0,5,0
debian/infrastructure,org.corfudb.infrastructure.orchestrator.workflows,HealNodeWorkflow.HealNodeToLayout,0,36,0,0,0,7,0,3,0,3
debian/infrastructure,org.corfudb.infrastructure,LayoutServer,157,585,17,43,28,136,17,37,1,23
debian/infrastructure,org.corfudb.infrastructure,CorfuServer,360,0,26,0,102,0,25,0,12,0
debian/infrastructure,org.corfudb.infrastructure,SequencerServer,157,1240,28,76,13,224,20,63,0,30
debian/infrastructure,org.corfudb.infrastructure,SequencerServerCache.new CacheWriter() {...},21,47,2,2,3,8,2,3,0,3
debian/infrastructure,org.corfudb.infrastructure,BatchProcessor.new Object() {...},6,41,0,0,0,1,0,1,0,1
debian/infrastructure,org.corfudb.infrastructure,LogUnitServer,56,803,6,24,13,157,9,46,3,37
debian/infrastructure,org.corfudb.infrastructure,SequencerServerCache.ConflictTxStream,25,73,8,8,1,5,8,5,1,4
debian/infrastructure,org.corfudb.infrastructure,BatchWriterOperation.Type,5,103,0,0,0,10,1,3,1,3
debian/infrastructure,org.corfudb.infrastructure,ResourceQuota,6,76,0,4,2,13,2,9,2,7
debian/infrastructure,org.corfudb.infrastructure,AbstractServer.ServerState,9,39,0,0,0,2,2,2,2,2
debian/infrastructure,org.corfudb.infrastructure,SequencerServerCache,0,132,1,3,0,41,1,14,0,13
debian/infrastructure,org.corfudb.infrastructure,RemoteMonitoringService.DetectorTask,9,45,0,2,0,5,2,4,2,3
debian/infrastructure,org.corfudb.infrastructure,ServerContext,140,852,18,44,41,195,23,63,7,48
debian/infrastructure,org.corfudb.infrastructure,CorfuServerNode,208,110,5,1,49,26,14,5,11,5
debian/infrastructure,org.corfudb.infrastructure,Phase2Data,117,15,22,0,2,3,17,3,6,3
debian/infrastructure,org.corfudb.infrastructure,LogUnitServer.LogUnitServerConfig,3,71,0,0,1,13,1,7,1,7
debian/infrastructure,org.corfudb.infrastructure,SequencerServer.Config.ConfigBuilder,18,28,1,1,0,1,2,4,1,4
debian/infrastructure,org.corfudb.infrastructure,ServerThreadFactory.ExceptionHandler,26,3,0,0,5,1,1,1,1,1
debian/infrastructure,org.corfudb.infrastructure,ManagementAgent,87,181,9,15,23,54,12,11,4,7
debian/infrastructure,org.corfudb.infrastructure,LogUnitServerCache,0,98,0,4,0,25,0,12,0,10
debian/infrastructure,org.corfudb.infrastructure,BatchWriterOperation,181,37,38,0,1,6,23,7,4,7
debian/infrastructure,org.corfudb.infrastructure,RemoteMonitoringService,161,912,16,50,39,259,18,53,2,36
debian/infrastructure,org.corfudb.infrastructure,RemoteMonitoringService.SequencerNotReadyCounter,4,25,0,0,1,5,1,4,1,4
debian/infrastructure,org.corfudb.infrastructure,Rank,63,84,12,16,3,8,11,12,2,7
debian/infrastructure,org.corfudb.infrastructure,LogUnitServer.LogUnitServerConfig.LogUnitServerConfigBuilder,32,42,0,0,0,1,1,7,1,7
debian/infrastructure,org.corfudb.infrastructure,CorfuMsgHandler,133,208,11,7,23,45,11,12,2,12
debian/infrastructure,org.corfudb.infrastructure,ManagementServer,178,478,13,23,34,119,13,24,2,17
debian/infrastructure,org.corfudb.infrastructure,AbstractServer,10,72,2,8,2,20,2,11,0,8
debian/infrastructure,org.corfudb.infrastructure,CorfuServerNode.new ChannelInitializer() {...},17,256,2,10,5,46,2,8,0,4
debian/infrastructure,org.corfudb.infrastructure,LocalMonitoringService,14,125,3,7,2,38,3,12,0,10
debian/infrastructure,org.corfudb.infrastructure,BaseServer,54,136,3,3,12,32,6,9,3,9
debian/infrastructure,org.corfudb.infrastructure,SequencerServer.Config,4,41,1,1,1,10,2,5,1,5
debian/infrastructure,org.corfudb.infrastructure,TxResolutionResponse,183,43,32,0,2,11,24,6,8,6
debian/infrastructure,org.corfudb.infrastructure,ServerThreadFactory,0,47,0,0,0,12,0,3,0,3
debian/infrastructure,org.corfudb.infrastructure,NettyServerRouter,96,120,8,4,17,30,9,10,3,10
debian/infrastructure,org.corfudb.infrastructure,BatchProcessor,26,414,4,36,8,103,4,26,0,7
debian/infrastructure,org.corfudb.infrastructure,RecoveryHandler,57,0,6,0,12,0,6,0,3,0
debian/infrastructure,org.corfudb.infrastructure,ServerHandshakeHandler,101,207,16,12,30,55,12,11,1,8
debian/infrastructure,org.corfudb.infrastructure.log,MultiReadWriteLock.LockReference,100,15,16,0,1,5,14,3,6,3
debian/infrastructure,org.corfudb.infrastructure.log,MultiReadWriteLock.LockMetadata,95,18,12,0,1,3,12,3,6,3
debian/infrastructure,org.corfudb.infrastructure.log,AddressMetaData,0,12,0,0,0,5,0,1,0,1
debian/infrastructure,org.corfudb.infrastructure.log,SegmentHandle,257,220,58,12,3,23,39,15,5,14
debian/infrastructure,org.corfudb.infrastructure.log,StreamLogWithRankedAddressSpace,1,57,1,11,1,15,1,6,0,1
debian/infrastructure,org.corfudb.infrastructure.log,StreamLogDataStore,5,164,1,7,0,31,1,12,0,9
debian/infrastructure,org.corfudb.infrastructure.log,LogMetadata,51,192,6,12,7,47,6,17,2,12
debian/infrastructure,org.corfudb.infrastructure.log,InMemoryStreamLog,75,297,10,28,14,60,10,27,2,16
debian/infrastructure,org.corfudb.infrastructure.log,StreamLogFiles.Checksum,3,36,0,2,2,6,1,3,1,2
debian/infrastructure,org.corfudb.infrastructure.log,StreamLog,2,34,2,8,1,10,2,5,0,2
debian/infrastructure,org.corfudb.infrastructure.log,StreamLogDataStore.StreamLogDataStoreBuilder,12,14,0,0,0,1,1,3,1,3
