GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
universe/runtime,org.corfudb.security.tls,ReloadableTrustManager,152,0,4,0,39,0,9,0,7,0
universe/runtime,org.corfudb.security.tls,TlsUtils,191,0,6,0,39,0,7,0,4,0
universe/runtime,org.corfudb.security.tls,SslContextConstructor,162,0,8,0,36,0,8,0,4,0
universe/runtime,org.corfudb.security.tls,ReloadableTrustManagerFactory,20,0,0,0,6,0,4,0,4,0
universe/runtime,org.corfudb.security.sasl,SaslUtils,102,0,4,0,27,0,4,0,2,0
universe/runtime,org.corfudb.runtime.view.stream,StreamAddressSpace,268,0,24,0,56,0,29,0,17,0
universe/runtime,org.corfudb.runtime.view.stream,StreamSpliterator,40,0,2,0,13,0,6,0,5,0
universe/runtime,org.corfudb.runtime.view.stream,IStreamView.SearchDirection,78,0,0,0,7,0,6,0,6,0
universe/runtime,org.corfudb.runtime.view.stream,BackpointerStreamView,254,0,38,0,68,0,25,0,6,0
universe/runtime,org.corfudb.runtime.view.stream,AddressMapStreamView,582,0,70,0,117,0,50,0,15,0
universe/runtime,org.corfudb.runtime.view.stream,AbstractQueuedStreamView,1469,0,154,0,284,0,107,0,30,0
universe/runtime,org.corfudb.runtime.view.stream,AbstractStreamContext,81,0,4,0,22,0,12,0,10,0
universe/runtime,org.corfudb.runtime.view.stream,IStreamView,36,0,0,0,7,0,7,0,7,0
universe/runtime,org.corfudb.runtime.view.stream,AbstractContextStreamView,354,0,38,0,79,0,36,0,17,0
universe/runtime,org.corfudb.runtime.view.stream,AbstractQueuedStreamView.QueuedStreamContext,156,0,4,0,28,0,6,0,4,0
universe/runtime,org.corfudb.runtime.view.stream,ThreadSafeStreamView,116,0,4,0,28,0,19,0,17,0
universe/runtime,org.corfudb.runtime.view.stream,AbstractQueuedStreamView.StreamCheckpoint,381,0,34,0,29,0,40,0,23,0
universe/runtime,org.corfudb.runtime.object,CorfuCompileWrapperBuilder,78,0,8,0,21,0,6,0,2,0
universe/runtime,org.corfudb.runtime.object,StreamViewSMRAdapter,234,0,32,0,52,0,34,0,18,0
universe/runtime,org.corfudb.runtime.object,AbstractCorfuWrapper,15,0,0,0,5,0,4,0,4,0
universe/runtime,org.corfudb.runtime.object,CorfuCompileProxy,987,0,76,0,175,0,66,0,28,0
universe/runtime,org.corfudb.runtime.object,VersionLockedObject.VloMetricsHelper,66,0,0,0,10,0,6,0,6,0
universe/runtime,org.corfudb.runtime.object,VersionLockedObject.NullValue,28,0,0,0,2,0,4,0,4,0
universe/runtime,org.corfudb.runtime.object,VersionLockedObject,1139,0,128,0,207,0,95,0,31,0
universe/runtime,org.corfudb.runtime.object,ISMRStream,6,0,0,0,1,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,QuotaExceededException,7,0,0,0,3,0,2,0,2,0
universe/runtime,org.corfudb.runtime.exceptions,RetryExhaustedException,4,0,0,0,2,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,ServerNotReadyException,3,0,0,0,2,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,FastObjectLoaderException,4,0,0,0,2,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,ValueAdoptedException,9,0,0,0,2,0,2,0,2,0
universe/runtime,org.corfudb.runtime.exceptions,StaleTokenException,19,0,0,0,4,0,2,0,2,0
universe/runtime,org.corfudb.runtime.exceptions,AbortCause,138,0,0,0,13,0,4,0,4,0
universe/runtime,org.corfudb.runtime.exceptions,TrimmedUpcallException,13,0,0,0,2,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,RecoveryException,4,0,0,0,2,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,UnreachableClusterException,4,0,0,0,2,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,DataOutrankedException,3,0,0,0,1,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,SerializerException,27,0,0,0,8,0,4,0,4,0
universe/runtime,org.corfudb.runtime.exceptions,LogUnitException,23,0,0,0,10,0,5,0,5,0
universe/runtime,org.corfudb.runtime.exceptions,AlreadyBootstrappedException,4,0,0,0,2,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,DataCorruptionException,23,0,0,0,10,0,5,0,5,0
universe/runtime,org.corfudb.runtime.exceptions,TransactionAbortedException,125,0,4,0,27,0,12,0,10,0
universe/runtime,org.corfudb.runtime.exceptions,WriteSizeException,17,0,0,0,2,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,WorkflowResultUnknownException,3,0,0,0,1,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,QuorumUnreachableException,27,0,0,0,6,0,3,0,3,0
universe/runtime,org.corfudb.runtime.exceptions,WrongClusterException,37,0,4,0,8,0,5,0,3,0
universe/runtime,org.corfudb.runtime.exceptions,WorkflowException,4,0,0,0,2,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,HoleFillRequiredException,4,0,0,0,2,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,WrongEpochException,19,0,0,0,4,0,2,0,2,0
universe/runtime,org.corfudb.runtime.exceptions,OutOfSpaceException,3,0,0,0,1,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,OutrankedException,51,0,2,0,11,0,5,0,4,0
universe/runtime,org.corfudb.runtime.exceptions,LayoutModificationException,4,0,0,0,2,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,NoRollbackException,54,0,0,0,12,0,3,0,3,0
universe/runtime,org.corfudb.runtime.exceptions,NoBootstrapException,4,0,0,0,2,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,TrimmedException,39,0,0,0,12,0,7,0,7,0
universe/runtime,org.corfudb.runtime.exceptions,OverwriteException,9,0,0,0,4,0,2,0,2,0
universe/runtime,org.corfudb.runtime.exceptions,OverwriteCause,103,0,4,0,14,0,8,0,6,0
universe/runtime,org.corfudb.runtime.exceptions,AppendException,3,0,0,0,1,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions,NetworkException,42,0,0,0,7,0,3,0,3,0
universe/runtime,org.corfudb.runtime.exceptions.unrecoverable,SystemUnavailableError,4,0,0,0,2,0,1,0,1,0
universe/runtime,org.corfudb.runtime.exceptions.unrecoverable,UnrecoverableCorfuInterruptedError,13,0,0,0,6,0,2,0,2,0
universe/runtime,org.corfudb.runtime.exceptions.unrecoverable,UnrecoverableCorfuError,13,0,0,0,6,0,3,0,3,0
universe/runtime,org.corfudb.security.sasl.plaintext,PlainTextSaslServer.PlainTextSaslServerFactory,42,0,4,0,8,0,5,0,3,0
universe/runtime,org.corfudb.security.sasl.plaintext,PlainTextCallbackHandler,57,0,6,0,14,0,5,0,2,0
universe/runtime,org.corfudb.security.sasl.plaintext,PlainTextLoginModule,149,0,6,0,28,0,9,0,6,0
universe/runtime,org.corfudb.security.sasl.plaintext,PlainTextSaslServer,166,0,16,0,42,0,19,0,11,0
universe/runtime,org.corfudb.security.sasl.plaintext,PlainTextSaslNettyServer,58,0,4,0,19,0,5,0,3,0
universe/runtime,org.corfudb.security.sasl.plaintext,PlainTextSaslNettyClient,78,0,4,0,20,0,5,0,3,0
universe/runtime,org.corfudb.security.sasl.plaintext,PlainTextSaslServerProvider,18,0,0,0,6,0,2,0,2,0
universe/runtime,org.corfudb.protocols.logprotocol,LogEntry,96,0,0,0,24,0,12,0,12,0
universe/runtime,org.corfudb.protocols.logprotocol,SMREntry,263,0,4,0,56,0,19,0,17,0
universe/runtime,org.corfudb.protocols.logprotocol,CheckpointEntry.CheckpointDictKey,99,0,0,0,12,0,5,0,5,0
universe/runtime,org.corfudb.protocols.logprotocol,LogEntry.LogEntryType,88,0,0,0,7,0,5,0,5,0
universe/runtime,org.corfudb.protocols.logprotocol,MultiSMREntry,125,0,2,0,31,0,14,0,13,0
universe/runtime,org.corfudb.protocols.logprotocol,MultiObjectSMREntry,181,0,6,0,46,0,19,0,16,0
universe/runtime,org.corfudb.protocols.logprotocol,CheckpointEntry.CheckpointEntryType,66,0,0,0,9,0,5,0,5,0
universe/runtime,org.corfudb.protocols.logprotocol,CheckpointEntry,348,0,14,0,69,0,23,0,16,0
universe/runtime,org.corfudb.runtime.collections,ISMRMap,100,0,8,0,25,0,15,0,11,0
universe/runtime,org.corfudb.runtime.collections,CorfuTable.IndexRegistry,9,0,0,0,3,0,2,0,2,0
universe/runtime,org.corfudb.runtime.collections,CorfuQueue.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
universe/runtime,org.corfudb.runtime.collections,ISMRMap.UndoNullable,28,0,0,0,2,0,4,0,4,0
universe/runtime,org.corfudb.runtime.collections,CorfuTable.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
universe/runtime,org.corfudb.runtime.collections,CorfuTable.new TypeToken() {...},3,0,0,0,1,0,1,0,1,0
universe/runtime,org.corfudb.runtime.collections,CorfuQueue.CorfuRecordId,84,0,12,0,14,0,12,0,6,0
universe/runtime,org.corfudb.runtime.collections,CorfuQueue,261,0,16,0,59,0,22,0,14,0
universe/runtime,org.corfudb.runtime.collections,CorfuTable.UndoNullable,28,0,0,0,2,0,4,0,4,0
universe/runtime,org.corfudb.runtime.collections,CorfuQueue.CorfuQueueRecord,40,0,0,0,8,0,5,0,5,0
universe/runtime,org.corfudb.runtime.collections,SMRMap,324,0,44,0,85,0,39,0,17,0
universe/runtime,org.corfudb.runtime.collections,CorfuTable.Index,62,0,4,0,16,0,9,0,7,0
universe/runtime,org.corfudb.runtime.collections,FGMap.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
universe/runtime,org.corfudb.runtime.collections,CorfuTable.IndexRegistry.new CorfuTable.IndexRegistry() {...},7,0,0,0,3,0,3,0,3,0
universe/runtime,org.corfudb.runtime.collections,CorfuTable,845,0,70,0,203,0,85,0,50,0
universe/runtime,org.corfudb.runtime.collections,FGMap,251,0,0,0,66,0,24,0,24,0
universe/runtime,org.corfudb.runtime.clients,IClientRouter,10,0,0,0,3,0,2,0,2,0
universe/runtime,org.corfudb.runtime.clients,LogUnitClient,284,0,8,0,59,0,28,0,24,0
