GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
samples/runtime,org.corfudb.security.tls,ReloadableTrustManager,75,77,2,2,14,25,2,7,0,7
samples/runtime,org.corfudb.security.tls,TlsUtils,73,118,1,5,15,24,2,5,1,3
samples/runtime,org.corfudb.security.tls,SslContextConstructor,82,80,3,5,15,21,4,4,1,3
samples/runtime,org.corfudb.security.tls,ReloadableTrustManagerFactory,2,18,0,0,2,4,2,2,2,2
samples/runtime,org.corfudb.security.sasl,SaslUtils,61,41,2,2,13,14,3,1,1,1
samples/runtime,org.corfudb.runtime.view.stream,StreamAddressSpace,46,222,8,16,8,48,10,19,3,14
samples/runtime,org.corfudb.runtime.view.stream,StreamSpliterator,5,35,0,2,2,11,1,5,1,4
samples/runtime,org.corfudb.runtime.view.stream,IStreamView.SearchDirection,9,69,0,0,0,7,2,4,2,4
samples/runtime,org.corfudb.runtime.view.stream,BackpointerStreamView,52,202,17,21,20,48,15,10,1,5
samples/runtime,org.corfudb.runtime.view.stream,AddressMapStreamView,40,543,4,68,8,108,5,46,1,14
samples/runtime,org.corfudb.runtime.view.stream,AbstractQueuedStreamView,252,1217,35,119,47,237,33,74,3,27
samples/runtime,org.corfudb.runtime.view.stream,AbstractStreamContext,26,55,1,3,3,19,3,9,2,8
samples/runtime,org.corfudb.runtime.view.stream,IStreamView,10,26,0,0,2,5,2,5,2,5
samples/runtime,org.corfudb.runtime.view.stream,AbstractContextStreamView,128,226,18,20,27,52,18,18,4,13
samples/runtime,org.corfudb.runtime.view.stream,AbstractQueuedStreamView.QueuedStreamContext,42,114,1,3,2,26,2,4,1,3
samples/runtime,org.corfudb.runtime.view.stream,ThreadSafeStreamView,37,79,2,2,9,19,5,14,4,13
samples/runtime,org.corfudb.runtime.view.stream,AbstractQueuedStreamView.StreamCheckpoint,234,147,31,3,3,26,25,15,9,14
samples/runtime,org.corfudb.runtime.object,CorfuCompileWrapperBuilder,3,75,2,6,1,20,3,3,1,1
samples/runtime,org.corfudb.runtime.object,StreamViewSMRAdapter,56,178,14,18,11,41,16,18,5,13
samples/runtime,org.corfudb.runtime.object,AbstractCorfuWrapper,0,15,0,0,0,5,0,4,0,4
samples/runtime,org.corfudb.runtime.object,CorfuCompileProxy,349,638,40,36,57,118,34,32,7,21
samples/runtime,org.corfudb.runtime.object,VersionLockedObject.VloMetricsHelper,8,58,0,0,2,8,2,4,2,4
